uri,title,call_number,series_title,component_id,title,value,dob_uri,dob_title,dob_id,barcode,conditions_governing_access,Local_access_restriction_type,container_id,container_id,container_id,location
/repositories/11/archival_objects/2399144,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 1 qua,"List, Roman CE 36, Aug 17",file,/repositories/11/digital_objects/199043,P.CtYBR inv. 1 qua,143d499a-cb88-4ee8-a630-1c0bf6def44f,,,,P.CtYBR inv. 1 qua,,,
/repositories/11/archival_objects/2399145,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 7,"Receipt, Roman CE 208, 5. Dec. [PJS]",file,/repositories/11/digital_objects/203506,P.CtYBR inv. 7,6a7f6374-a739-4184-9df1-19a764e696d9,,,,P.CtYBR inv. 7,,,
/repositories/11/archival_objects/2399146,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 8 fol,"Literary work, Roman CE i-early ii [BPG]",file,/repositories/11/digital_objects/199642,P.CtYBR inv. 8 fol,4404047e-ed8d-4fbc-a0bf-4dfa8c8b9f6a,,,,P.CtYBR inv. 8 fol,,,
/repositories/11/archival_objects/2399147,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 14,"Receipt, Roman CE 186",file,/repositories/11/digital_objects/198339,P.CtYBR inv. 14,8e0c848c-be78-4706-a718-ddd3646c7926,,,,P.CtYBR inv. 14,,,
/repositories/11/archival_objects/2399148,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 15,"Certificate, Roman CE 138-161",file,/repositories/11/digital_objects/202676,P.CtYBR inv. 15,9fe6d47c-2bc2-4539-a0cd-902c43605e00,,,,P.CtYBR inv. 15,,,
/repositories/11/archival_objects/2399149,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 16,"Certificate, Roman CE 119, Aug 1",file,/repositories/11/digital_objects/202255,P.CtYBR inv. 16,d218fc4c-9b17-45ad-bc43-e7a8362456a6,,,,P.CtYBR inv. 16,,,
/repositories/11/archival_objects/2399150,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 30,"Literary work, Roman CE ii-iii [BPG]",file,/repositories/11/digital_objects/199039,P.CtYBR inv. 30,23c153d6-d1c7-4c65-a384-7f0c48ea7b40,,,,P.CtYBR inv. 30,,,
/repositories/11/archival_objects/2399151,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 31,"Literary work, Roman CE iii [BPG, ASH]|Roman CE late ii [CBW]",file,/repositories/11/digital_objects/198483,P.CtYBR inv. 31,62ddf8e2-2f6f-4015-a0b6-a2837548de85,,,,P.CtYBR inv. 31,,,
/repositories/11/archival_objects/2399152,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 32,"Letter, Roman CE ii (Oct 28 or 29) [BPG]",file,/repositories/11/digital_objects/203209,P.CtYBR inv. 32,a9b1fd85-23c6-45ed-af6a-22750b2e059e,,,,P.CtYBR inv. 32,,,
/repositories/11/archival_objects/2399153,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 33 qua,"Receipt, Byzantine CE 535, Jan 17",file,/repositories/11/digital_objects/201883,P.CtYBR inv. 33 qua,45398255-abe7-4384-a79f-c9279af44edf,,,,P.CtYBR inv. 33 qua,,,
/repositories/11/archival_objects/2399154,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 35(A) qua,"Literary work, Roman CE early i [BPG]",file,/repositories/11/digital_objects/203289,P.CtYBR inv. 35(A) qua,f52b65b7-e0af-44b3-9a52-155cc7d0a829,,,,P.CtYBR inv. 35 qua,,,
/repositories/11/archival_objects/2399155,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 35(B) qua,"Letter, Roman CE early i [BPG]",file,/repositories/11/digital_objects/201710,P.CtYBR inv. 35(B) qua,c55a95b4-b0a7-4710-aa75-603d2d84d464,,,,,,,
/repositories/11/archival_objects/2399156,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 37,"Registration, Roman CE 80, Oct 10",file,/repositories/11/digital_objects/198095,P.CtYBR inv. 37,80acdac7-fc56-43f6-b385-634e76032b6e,,,,P.CtYBR inv. 37,,,
/repositories/11/archival_objects/2399157,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 40,"Petition, Roman CE 30-35 [BPG]",file,/repositories/11/digital_objects/201008,P.CtYBR inv. 40,1fb3a58f-3106-4731-afec-8bdd5f13f919,,,,P.CtYBR inv. 40,,,
/repositories/11/archival_objects/2399158,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 41,"Registration, Roman CE late i [BPG]",file,/repositories/11/digital_objects/202549,P.CtYBR inv. 41,e4759873-5008-460c-a6e7-33631220a31a,,,,P.CtYBR inv. 41,,,
/repositories/11/archival_objects/2399159,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 42 qua,"Registration, Roman CE 28, Jan 28",file,/repositories/11/digital_objects/203068,P.CtYBR inv. 42 qua,1923b0c6-ac88-48ef-8d12-09b19c0d5a29,,,,P.CtYBR inv. 42 qua,,,
/repositories/11/archival_objects/2399160,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 43,"Petition, Roman CE 49-50",file,/repositories/11/digital_objects/201171,P.CtYBR inv. 43,0bfddbc6-2106-4d9b-ab5a-44b21f362618,,,,P.CtYBR inv. 43,,,
/repositories/11/archival_objects/2399161,Yale Papyrus Collection,YPC,"Acquisition information, 1901",P.CtYBR inv. 2190,"Document, Roman CE early i [BPG]",file,/repositories/11/digital_objects/200877,P.CtYBR inv. 2190,9fe64f1e-6e06-4483-83ed-13bf74287ec3,,,,P.CtYBR inv. 2190,,,
/repositories/11/archival_objects/2399162,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 2(A) qua,"Account, Roman CE 161-169",file,/repositories/11/digital_objects/203011,P.CtYBR inv. 2(A) qua,7a101a4f-f7e5-40a8-a780-e6c2dc1fb554,,,,P.CtYBR inv. 2 qua,,,
/repositories/11/archival_objects/2399163,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 2(B) qua,Account,file,/repositories/11/digital_objects/199442,P.CtYBR inv. 2(B) qua,7d0b7380-91c0-4e34-9485-ae7f806d2ac7,,,,,,,
/repositories/11/archival_objects/2399164,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 3,"Letter, Roman CE 100",file,/repositories/11/digital_objects/202739,P.CtYBR inv. 3,10bf9e41-32c8-4d9c-9d2f-f70504d57be1,,,,P.CtYBR inv. 3,,,
/repositories/11/archival_objects/2399165,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 4,"Letter, Roman CE 101",file,/repositories/11/digital_objects/201606,P.CtYBR inv. 4,4c5ece6c-9ec3-4e06-a236-3648008a102e,,,,P.CtYBR inv. 4,,,
/repositories/11/archival_objects/2399166,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 5,"Petition, Roman CE i [BPG]",file,/repositories/11/digital_objects/198335,P.CtYBR inv. 5,b821ac41-2d6a-4d7f-ac8a-31b884567dcd,,,,P.CtYBR inv. 5,,,
/repositories/11/archival_objects/2399167,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 6,"Petition, Roman CE i-ii [BPG]",file,/repositories/11/digital_objects/201023,P.CtYBR inv. 6,1f32b38c-0155-4d73-bac9-da8db5398ad3,,,,P.CtYBR inv. 6,,,
/repositories/11/archival_objects/2399168,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 9,"Letter, Roman CE i-ii (ca. 100) [BPG]",file,/repositories/11/digital_objects/201854,P.CtYBR inv. 9,9f3d07d8-8f7b-484d-8860-4c9611c8c3c9,,,,P.CtYBR inv. 9,,,
/repositories/11/archival_objects/2399169,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 10,"Letter, Roman CE i-ii (ca. 100) [BPG]",file,/repositories/11/digital_objects/201991,P.CtYBR inv. 10,9c25df12-f380-4591-8301-5c6a5d3f8eb6,,,,P.CtYBR inv. 10,,,
/repositories/11/archival_objects/2399170,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 11,"Letter, Roman CE i-ii (ca. 100) [BPG]",file,/repositories/11/digital_objects/202398,P.CtYBR inv. 11,885c32c3-f54b-432b-9aa4-67cf8d6bd6cc,,,,P.CtYBR inv. 11,,,
/repositories/11/archival_objects/2399171,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 12,"Letter, Roman CE i-ii (ca. 100) [BPG]",file,/repositories/11/digital_objects/201934,P.CtYBR inv. 12,6a6c5e5f-1dea-40a8-b7f5-cf7cf53228fc,,,,P.CtYBR inv. 12,,,
/repositories/11/archival_objects/2399172,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 13(A) fol,"Account, Roman CE ii [BPG]",file,/repositories/11/digital_objects/201241,P.CtYBR inv. 13(A) fol,58532901-973a-4ff1-a2da-25a9a129cd79,,,,P.CtYBR inv. 13 fol,,,
/repositories/11/archival_objects/2399173,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 13(B) fol,"Account, Roman [BPG]",file,/repositories/11/digital_objects/200702,P.CtYBR inv. 13(B) fol,255cf182-e709-4b65-97eb-07d28d2bc059,,,,,,,
/repositories/11/archival_objects/2399174,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 34(A),"Literary work, Roman CE early ii [BPG]",file,/repositories/11/digital_objects/201117,P.CtYBR inv. 34(A),e2ca5d94-b9bd-4a2f-9477-cc2cd0d0213a,,,,P.CtYBR inv. 34,,,
/repositories/11/archival_objects/2399175,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 34(B),"Account, Roman CE i [BPG]",file,/repositories/11/digital_objects/200802,P.CtYBR inv. 34(B),fbbbb2e7-1d4f-46a0-8209-bd13b612fe8c,,,,,,,
/repositories/11/archival_objects/2399176,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 36,"Literary work, Roman CE early i [BPG]",file,/repositories/11/digital_objects/200319,P.CtYBR inv. 36,8413cbda-e423-453a-ae00-75dfcf498864,,,,P.CtYBR inv. 36,,,
